,datetime,weather_temperature
0,2020-11-30 23:00:00,6.1
1,2020-11-30 22:00:00,6.1
2,2020-11-30 21:00:00,6.3
3,2020-11-30 20:00:00,6.3
4,2020-11-30 19:00:00,6.5
5,2020-11-30 18:00:00,6.2
6,2020-11-30 17:00:00,5.5
7,2020-11-30 16:00:00,4.8
8,2020-11-30 15:00:00,4.5
9,2020-11-30 14:00:00,5.2
10,2020-11-30 13:00:00,7.5
11,2020-11-30 12:00:00,8.0
12,2020-11-30 11:00:00,7.6
13,2020-11-30 10:00:00,5.6
14,2020-11-30 09:00:00,4.8
15,2020-11-30 08:00:00,4.3
16,2020-11-30 07:00:00,3.7
17,2020-11-30 06:00:00,3.1
18,2020-11-30 05:00:00,3.7
19,2020-11-30 04:00:00,3.5
20,2020-11-30 03:00:00,2.1
21,2020-11-30 02:00:00,3.5
22,2020-11-30 01:00:00,3.0
23,2020-11-30 00:00:00,3.1
24,2020-11-29 23:00:00,3.4
25,2020-11-29 22:00:00,4.1
26,2020-11-29 21:00:00,2.5
27,2020-11-29 20:00:00,3.4
28,2020-11-29 19:00:00,4.1
29,2020-11-29 18:00:00,4.8
30,2020-11-29 17:00:00,5.0
31,2020-11-29 16:00:00,6.4
32,2020-11-29 15:00:00,7.2
33,2020-11-29 14:00:00,7.5
34,2020-11-29 13:00:00,7.7
35,2020-11-29 12:00:00,7.3
36,2020-11-29 11:00:00,6.4
37,2020-11-29 10:00:00,4.9
38,2020-11-29 09:00:00,4.4
39,2020-11-29 08:00:00,4.1
40,2020-11-29 07:00:00,3.6
41,2020-11-29 06:00:00,3.6
42,2020-11-29 05:00:00,3.9
43,2020-11-29 04:00:00,4.1
44,2020-11-29 03:00:00,4.3
45,2020-11-29 02:00:00,4.4
46,2020-11-29 01:00:00,4.5
47,2020-11-29 00:00:00,4.5
48,2020-11-28 23:00:00,4.8
49,2020-11-28 22:00:00,4.5
50,2020-11-28 21:00:00,4.4
51,2020-11-28 20:00:00,4.0
52,2020-11-28 19:00:00,3.9
53,2020-11-28 18:00:00,4.0
54,2020-11-28 17:00:00,3.5
55,2020-11-28 16:00:00,4.6
56,2020-11-28 15:00:00,5.3
57,2020-11-28 14:00:00,5.5
58,2020-11-28 13:00:00,5.2
59,2020-11-28 12:00:00,4.3
60,2020-11-28 11:00:00,3.7
61,2020-11-28 10:00:00,3.7
62,2020-11-28 09:00:00,3.3
63,2020-11-28 08:00:00,3.0
64,2020-11-28 07:00:00,3.2
65,2020-11-28 06:00:00,3.3
